,Time,Ax,Ay,Az,Gx,Gy,Gz,Label
0,28938,0.04,0.04,-0.98,2.2,0.79,-0.43,1.0
1,29015,0.03,0.03,-0.99,2.01,1.34,-0.49,1.0
2,29121,0.02,0.04,-0.98,3.29,-0.18,-0.61,1.0
3,29226,0.03,0.05,-0.99,2.26,0.55,-0.61,1.0
4,29303,0.03,0.04,-0.98,3.17,-0.12,-0.55,1.0
5,29408,0.04,0.04,-0.99,3.72,-0.61,-0.49,1.0
6,29513,0.03,0.05,-0.98,3.96,-1.04,-0.61,1.0
7,29591,0.03,0.05,-0.99,4.39,-1.4,-0.67,1.0
8,29684,0.05,0.05,-0.99,2.99,0.06,-0.49,1.0
9,29761,0.04,0.05,-1.0,2.74,0.24,-0.61,1.0
10,29866,0.05,0.05,-0.98,2.01,1.16,-0.37,1.0
11,29973,0.02,0.05,-0.98,2.56,0.67,-0.49,1.0
12,30050,0.04,0.05,-0.99,2.44,0.67,-0.61,1.0
13,30158,0.03,0.04,-0.99,3.05,-0.18,-0.67,1.0
14,30265,0.04,0.04,-0.99,2.87,0.06,-0.67,1.0
15,30346,0.02,0.03,-0.99,3.29,-0.18,-0.3,1.0
16,30446,0.02,0.04,-0.98,7.99,-5.12,-0.85,1.0
17,30527,0.02,0.03,-1.0,9.88,-7.2,-1.22,1.0
18,30636,0.05,0.05,-0.97,9.21,-6.52,-1.04,1.0
19,30745,0.04,0.06,-0.97,5.3,-2.32,-0.55,1.0
20,30826,0.05,0.06,-0.98,3.54,-0.67,-0.61,1.0
21,30934,0.03,0.05,-0.98,1.77,1.34,-0.18,1.0
22,31043,0.01,0.04,-0.99,5.3,-2.44,-0.79,1.0
23,31114,0.03,0.04,-0.98,7.44,-4.51,-0.73,1.0
24,31220,0.02,0.04,-0.98,8.54,-5.49,-0.91,1.0
25,31301,0.05,0.06,-0.98,5.37,-2.44,-0.73,1.0
26,31410,0.05,0.05,-0.99,3.35,-0.37,-0.61,1.0
27,31518,0.06,0.05,-0.99,1.52,1.65,-0.37,1.0
28,31599,0.03,0.05,-0.99,1.59,1.65,-0.24,1.0
29,31708,0.03,0.06,-1.0,3.35,-0.3,-0.49,1.0
30,31882,0.04,0.04,-0.98,4.51,-1.34,-0.67,1.0
31,31963,0.04,0.05,-0.98,3.29,-0.18,-0.49,1.0
32,32072,0.04,0.04,-0.98,2.74,0.37,-0.49,1.0
33,32177,0.02,0.04,-0.98,3.29,-0.3,-0.55,1.0
34,32254,0.02,0.05,-0.99,4.15,-1.22,-0.61,1.0
35,32359,0.02,0.04,-1.0,4.39,-1.52,-0.61,1.0
36,32437,0.03,0.04,-0.98,4.7,-1.83,-0.67,1.0
37,32538,0.03,0.04,-0.99,3.66,-0.73,-0.67,1.0
38,32643,0.03,0.04,-0.98,3.54,-0.49,-0.67,1.0
39,32712,0.04,0.05,-0.98,2.68,0.55,-0.43,1.0
40,32818,0.04,0.04,-0.99,3.29,-0.37,-0.61,1.0
41,32923,0.04,0.04,-0.99,3.29,-0.3,-0.55,1.0
42,33000,0.03,0.05,-0.98,4.02,-1.04,-0.61,1.0
43,33105,0.03,0.05,-0.98,3.54,-0.67,-0.73,1.0
44,33211,0.04,0.04,-0.97,3.41,-0.55,-0.67,1.0
45,33288,0.04,0.05,-0.98,2.99,0.0,-0.49,1.0
46,33384,0.04,0.04,-0.98,2.8,0.24,-0.49,1.0
47,33462,0.03,0.05,-0.98,2.99,0.06,-0.61,1.0
48,33619,0.03,0.05,-0.98,3.05,0.12,-0.61,1.0
49,33725,0.04,0.04,-0.98,3.35,-0.55,-0.55,1.0
50,33803,0.04,0.04,-0.97,3.23,0.0,-0.49,1.0
51,33907,0.04,0.04,-0.98,3.17,-0.24,-0.55,1.0
52,33986,0.04,0.06,-0.99,2.68,0.3,-0.49,1.0
53,34095,0.03,0.04,-0.98,2.99,0.18,-0.55,1.0
54,34195,0.04,0.05,-0.97,2.68,0.3,-0.61,1.0
55,34275,0.03,0.04,-0.98,3.05,0.0,-0.67,1.0
56,34384,0.03,0.06,-0.98,2.99,0.06,-0.55,1.0
57,34464,0.04,0.04,-0.98,3.11,0.06,-0.61,1.0
58,34573,0.03,0.05,-0.98,2.87,0.06,-0.55,1.0
59,34682,0.03,0.04,-0.98,2.74,0.37,-0.49,1.0
60,34763,0.04,0.05,-0.98,2.87,0.3,-0.55,1.0
61,34871,0.03,0.04,-1.0,2.8,0.37,-0.49,1.0
62,34943,0.04,0.05,-0.99,2.87,0.12,-0.55,1.0
63,35052,0.04,0.04,-0.98,2.87,0.18,-0.55,1.0
64,35161,0.04,0.03,-0.98,3.11,0.12,-0.55,1.0
65,35242,0.02,0.05,-0.99,2.68,0.43,-0.55,1.0
66,35351,0.04,0.04,-0.99,2.8,0.3,-0.49,1.0
67,35432,0.03,0.05,-0.98,2.8,0.43,-0.55,1.0
68,35540,0.04,0.05,-0.98,1.34,1.89,-0.3,1.0
69,35649,0.03,0.04,-0.99,0.79,2.44,-0.3,1.0
70,35721,0.02,0.03,-0.98,3.84,-0.73,-0.61,1.0
71,35830,0.02,0.04,-1.0,3.54,-0.3,-0.61,1.0
72,35911,0.04,0.05,-1.0,1.04,2.01,-0.49,1.0
73,36092,-0.17,0.12,-1.03,-6.89,61.52,-30.61,1.0
74,36204,-0.15,0.09,-1.34,125.0,120.98,-231.71,1.0
75,36284,0.39,0.12,-0.58,278.48,135.37,-201.28,1.0
76,36392,0.66,0.01,-0.3,104.15,146.95,-169.09,1.0
77,36491,1.13,-0.07,-1.09,132.99,50.67,-68.72,1.0
78,36571,0.53,-0.2,-0.03,142.13,243.35,-86.1,1.0
79,36679,1.26,-0.26,0.08,179.33,291.1,42.26,1.0
80,36786,0.96,-0.26,0.38,96.46,156.28,29.7,1.0
81,36866,0.91,-0.23,0.22,57.07,1.4,49.51,1.0
82,36970,0.71,-0.33,0.68,26.16,62.68,57.38,1.0
83,37077,0.78,-0.22,0.71,40.55,48.17,42.2,1.0
84,37157,0.76,-0.27,0.82,20.37,50.55,57.07,1.0
85,37255,0.76,-0.38,0.81,-0.67,0.12,18.54,1.0
86,37362,0.69,-0.37,0.86,-21.89,9.76,67.38,1.0
87,37442,0.42,-0.29,0.64,-1.04,-26.89,-1.71,1.0
88,37549,0.64,-0.52,0.71,8.54,-27.38,-20.61,1.0
89,37628,0.56,-0.66,0.72,-0.98,-35.0,35.98,1.0
90,37736,0.6,-0.38,0.65,14.02,-20.55,30.73,1.0
91,37843,0.85,-0.47,0.46,-8.17,5.3,-21.65,1.0
92,37923,0.64,-0.41,0.57,6.71,3.05,3.78,1.0
93,38023,0.69,-0.4,0.45,0.49,-15.24,-29.76,1.0
94,38133,0.73,-0.33,0.51,-26.83,-74.02,-48.48,1.0
95,38216,0.82,-0.38,0.44,-20.49,-111.59,-54.76,1.0
96,38327,0.56,-0.33,0.43,-7.74,-49.09,-2.99,1.0
97,38438,0.52,-0.21,0.23,26.22,-245.0,-10.79,1.0
98,38522,0.52,-0.04,-0.09,-53.29,-74.94,-38.05,1.0
99,38633,0.92,-0.05,-0.6,-54.76,-197.87,-50.37,1.0
100,38752,0.72,0.06,-0.73,-131.04,-204.39,-45.12,1.0
101,38826,0.52,0.23,-0.97,-70.43,-214.63,-8.48,1.0
102,38937,0.3,0.26,-0.49,44.57,-31.34,85.18,1.0
103,39044,0.49,-0.07,-1.36,79.39,33.29,71.59,1.0
104,39127,0.18,-1.11,-1.22,78.78,19.39,208.96,1.0
105,39238,0.14,-0.02,-1.31,-20.79,-121.16,4.7,1.0
106,39321,0.32,-0.03,-1.05,-22.68,-8.11,23.66,1.0
107,39501,0.05,0.04,-1.02,17.32,16.4,-0.43,1.0
108,39622,0.03,0.0,-1.0,-0.06,-2.38,-0.12,1.0
109,39699,0.03,-0.0,-0.97,2.99,0.3,-0.37,1.0
110,39804,0.03,0.0,-0.98,3.23,0.67,-0.3,1.0
111,39908,-0.04,0.12,-0.89,0.0,-2.5,-0.61,1.0
112,39985,0.01,0.03,-0.99,1.83,-0.79,-0.24,1.0
113,40090,0.01,0.04,-0.97,2.68,0.06,-0.24,1.0
114,40167,0.02,0.03,-0.99,2.68,0.06,-0.24,1.0
115,40272,0.02,0.02,-0.98,2.74,0.67,-0.18,1.0
116,40340,0.04,0.03,-0.98,2.87,0.24,-0.61,1.0
117,40445,0.03,0.01,-0.97,2.87,0.55,-0.61,1.0
118,40550,0.02,0.03,-0.99,2.68,0.24,-0.37,1.0
119,40627,0.03,0.01,-0.97,2.74,0.24,-0.43,1.0
120,40732,0.02,0.03,-0.99,2.68,0.12,-0.43,1.0
121,40809,0.03,0.01,-0.98,2.74,0.24,-0.37,1.0
122,40914,0.02,0.02,-0.99,2.87,0.18,-0.43,1.0
123,41019,0.02,0.01,-0.98,2.68,0.18,-0.55,1.0
124,41087,0.02,0.02,-0.97,2.68,0.18,-0.49,1.0
125,41192,0.03,0.02,-0.98,2.68,0.18,-0.43,1.0
126,41269,0.03,0.02,-0.99,2.68,0.18,-0.43,1.0
127,41381,0.01,0.02,-0.99,2.74,0.06,-0.37,1.0
128,41486,0.02,0.01,-0.99,2.68,0.18,-0.43,1.0
129,41563,0.03,0.03,-0.99,2.68,0.12,-0.43,1.0
130,41668,0.03,0.01,-0.99,2.74,0.18,-0.37,1.0
131,41746,0.02,0.03,-0.99,2.74,0.24,-0.37,1.0
132,41841,0.02,0.01,-0.97,3.05,0.55,-0.37,1.0
