,Time,Ax,Ay,Az,Gx,Gy,Gz,Label
0,24755,0.03,-0.07,-0.99,2.32,0.55,-1.4,1.0
1,24861,0.03,-0.07,-0.98,2.8,0.18,-1.34,1.0
2,24942,0.03,-0.06,-0.98,2.74,0.24,-1.52,1.0
3,25048,0.03,-0.06,-0.97,2.99,0.12,-1.4,1.0
4,25129,0.01,-0.07,-0.98,3.29,-0.12,-1.46,1.0
5,25236,0.03,-0.07,-0.98,3.05,0.0,-1.34,1.0
6,25342,0.03,-0.07,-0.98,2.74,0.06,-1.22,1.0
7,25413,0.03,-0.07,-0.99,2.38,0.24,-1.34,1.0
8,25520,0.03,-0.06,-1.0,2.13,0.37,-1.46,1.0
9,25600,0.03,-0.05,-1.0,2.01,0.12,-1.28,1.0
10,25707,0.02,-0.06,-0.99,3.48,-0.12,-1.28,1.0
11,25788,0.02,-0.06,-0.99,2.93,0.18,-1.34,1.0
12,25894,0.03,-0.07,-0.99,2.68,0.24,-1.28,1.0
13,26001,0.03,-0.06,-0.99,2.38,0.18,-1.34,1.0
14,26081,0.02,-0.07,-0.99,2.26,0.37,-1.46,1.0
15,26187,0.03,-0.08,-0.98,2.68,0.12,-1.4,1.0
16,26268,0.02,-0.05,-0.99,3.11,0.0,-1.28,1.0
17,26374,0.04,-0.06,-1.0,2.5,0.06,-1.46,1.0
18,26480,0.02,-0.06,-0.99,2.13,0.49,-1.4,1.0
19,26561,0.03,-0.06,-0.98,2.68,0.12,-1.52,1.0
20,26667,0.03,-0.05,-0.98,2.32,0.3,-1.52,1.0
21,26748,0.03,-0.07,-0.99,2.56,0.12,-1.46,1.0
22,26855,0.02,-0.06,-0.99,2.68,0.24,-1.4,1.0
23,26952,0.02,-0.07,-0.96,2.87,0.12,-1.59,1.0
24,27033,0.02,-0.06,-0.98,2.68,0.12,-1.34,1.0
25,27140,0.03,-0.05,-0.98,2.8,0.06,-1.28,1.0
26,27221,0.02,-0.06,-0.99,2.8,0.12,-1.34,1.0
27,27327,0.03,-0.08,-0.97,2.74,0.18,-1.4,1.0
28,27434,0.02,-0.06,-0.95,2.74,0.18,-1.4,1.0
29,27515,0.04,-0.06,-0.97,2.68,0.18,-1.34,1.0
30,27621,0.02,-0.06,-0.98,2.74,0.12,-1.52,1.0
31,27702,0.03,-0.07,-0.98,2.56,0.18,-1.46,1.0
32,27808,0.03,-0.06,-0.99,2.93,0.0,-1.4,1.0
33,27914,0.03,-0.06,-0.98,2.87,0.06,-1.46,1.0
34,27995,0.03,-0.07,-0.99,2.99,0.24,-1.52,1.0
