,Time,Ax,Ay,Az,Gx,Gy,Gz,Label
0,29071,-0.01,0.04,-1.0,-2.68,1.65,0.73,1.0
1,29149,-0.0,0.04,-0.99,-2.8,1.52,0.73,1.0
2,29244,0.01,0.05,-1.0,-2.68,1.77,0.73,1.0
3,29322,0.0,0.05,-1.01,-2.68,1.52,0.79,1.0
4,29425,0.0,0.05,-1.01,-2.68,1.59,0.67,1.0
5,29529,0.0,0.05,-1.0,-2.68,1.65,0.79,1.0
6,29607,0.0,0.05,-0.99,-2.62,1.65,0.67,1.0
7,29710,0.0,0.04,-0.99,-2.62,1.59,0.67,1.0
8,29788,0.0,0.05,-1.0,-2.68,1.77,0.67,1.0
9,29891,-0.01,0.05,-1.0,-2.56,1.71,0.67,1.0
10,29991,0.0,0.05,-0.98,-2.56,1.65,0.79,1.0
11,30060,0.0,0.04,-0.99,-2.62,1.59,0.73,1.0
12,30165,0.0,0.04,-0.99,-2.62,1.59,0.67,1.0
13,30243,0.0,0.05,-0.98,-2.62,1.65,0.67,1.0
14,30350,0.0,0.05,-0.99,-2.68,1.71,0.67,1.0
15,30455,0.0,0.05,-1.01,-2.74,1.59,0.79,1.0
16,30536,-0.0,0.04,-1.01,-2.68,1.59,0.67,1.0
17,30644,0.0,0.05,-1.0,-2.56,1.71,0.67,1.0
18,30760,0.0,0.04,-1.0,-2.62,1.65,0.67,1.0
19,30842,0.01,0.05,-1.0,-2.62,1.65,0.67,1.0
20,30949,0.0,0.05,-1.0,-2.56,1.71,0.73,1.0
21,31021,-0.0,0.04,-0.98,-2.56,1.59,0.67,1.0
22,31128,0.01,0.05,-0.98,-2.74,1.59,0.67,1.0
23,31235,-0.0,0.05,-1.0,-2.68,1.46,0.67,1.0
24,31317,0.0,0.04,-0.99,-2.62,1.65,0.67,1.0
25,31424,0.01,0.05,-0.99,-2.5,1.59,0.67,1.0
26,31531,-0.0,0.05,-0.98,-2.68,1.65,0.67,1.0
27,31613,0.0,0.04,-1.0,-2.56,1.65,0.67,1.0
28,31720,0.01,0.05,-1.01,-2.68,1.77,0.79,1.0
29,31801,0.0,0.04,-1.0,-2.62,1.59,0.67,1.0
30,31896,0.0,0.05,-1.01,-2.74,1.71,0.73,1.0
31,32003,0.01,0.04,-1.01,-2.62,1.65,0.67,1.0
32,32084,0.0,0.05,-1.0,-2.68,1.71,0.67,1.0
33,32260,0.01,0.05,-0.98,-2.74,1.71,0.67,1.0
34,32374,-0.0,0.04,-0.99,-2.68,1.65,0.73,1.0
35,32452,0.0,0.05,-1.01,-2.68,1.46,0.67,1.0
36,32555,-0.0,0.05,-0.99,-2.68,1.59,0.79,1.0
37,32633,-0.0,0.04,-1.0,-2.62,1.71,0.73,1.0
38,32736,0.0,0.05,-1.0,-2.74,1.52,0.73,1.0
39,32831,0.01,0.05,-0.99,-2.62,1.52,0.55,1.0
40,32909,0.01,0.06,-1.0,-2.68,1.52,0.67,1.0
41,33021,0.01,0.05,-1.0,-2.62,1.46,0.73,1.0
42,33125,-0.01,0.05,-0.98,-2.62,1.71,0.73,1.0
