,Time,Ax,Ay,Az,Gx,Gy,Gz,Label
0,21842,0.05,0.08,-0.99,-0.06,0.37,-0.43,1.0
1,21945,0.06,0.09,-0.98,0.49,-0.49,-0.37,1.0
2,22013,0.04,0.07,-0.99,-1.04,1.95,-0.24,1.0
3,22115,0.05,0.08,-1.0,0.24,0.18,-0.37,1.0
4,22217,0.04,0.08,-1.0,0.06,0.43,-0.12,1.0
5,22293,0.04,0.08,-1.0,1.1,-1.52,-0.3,1.0
6,22395,0.06,0.09,-0.98,-0.12,1.16,-0.3,1.0
7,22472,0.04,0.08,-1.0,-0.61,1.59,-0.12,1.0
8,22574,0.06,0.09,-0.99,2.13,-2.93,-0.61,1.0
9,22676,0.06,0.09,-0.98,-1.83,3.41,-0.12,1.0
10,22745,0.05,0.07,-1.0,-0.06,0.61,-0.24,1.0
11,22847,0.05,0.09,-0.98,0.06,0.06,-0.18,1.0
12,22923,0.06,0.08,-0.99,0.12,0.24,-0.3,1.0
13,23034,0.06,0.09,-1.01,1.16,-1.52,-0.37,1.0
14,23137,0.06,0.08,-0.98,-1.1,2.26,-0.24,1.0
15,23213,0.04,0.08,-0.98,0.37,-0.49,-0.3,1.0
16,23316,0.06,0.08,-0.97,0.12,0.24,-0.3,1.0
17,23392,0.06,0.08,-0.98,-0.61,1.28,-0.12,1.0
18,23486,0.05,0.09,-0.98,0.0,0.43,-0.3,1.0
19,23562,0.05,0.08,-1.0,-0.55,1.28,-0.24,1.0
20,23664,0.04,0.08,-1.0,-0.43,1.1,-0.18,1.0
21,23766,0.05,0.08,-0.99,0.85,-0.98,-0.3,1.0
22,23843,0.05,0.09,-0.97,0.49,-0.3,-0.3,1.0
23,23945,0.06,0.09,-1.0,-1.34,2.8,-0.12,1.0
24,24022,0.04,0.08,-0.99,0.3,-0.24,-0.37,1.0
25,24124,0.06,0.08,-0.98,-0.12,0.73,-0.3,1.0
26,24218,0.05,0.07,-0.98,-0.24,0.79,-0.24,1.0
27,24294,0.05,0.09,-0.99,0.61,-0.37,-0.3,1.0
28,24396,0.06,0.08,-0.98,0.0,0.73,-0.18,1.0
29,24473,0.06,0.08,-0.98,-0.18,0.85,-0.3,1.0
30,24575,0.06,0.07,-0.98,0.3,-0.18,-0.3,1.0
31,24677,0.05,0.09,-0.98,0.73,-0.79,-0.3,1.0
32,24754,0.06,0.08,-0.97,-0.49,1.34,-0.24,1.0
33,24856,0.05,0.08,-0.99,-1.1,2.32,-0.24,1.0
34,24924,0.04,0.08,-1.0,1.04,-1.22,-0.37,1.0
35,25028,0.06,0.08,-0.99,0.18,0.12,-0.18,1.0
36,25127,0.05,0.08,-0.99,-0.37,1.1,-0.12,1.0
37,25206,0.05,0.07,-0.99,0.49,-0.49,-0.49,1.0
38,25310,0.06,0.08,-0.97,0.12,0.18,-0.18,1.0
39,25390,0.05,0.08,-0.99,-0.37,1.1,-0.3,1.0
40,25495,0.05,0.09,-0.99,0.49,-0.24,-0.24,1.0
41,25600,0.05,0.08,-0.98,-0.43,0.98,-0.3,1.0
42,25671,0.04,0.08,-0.98,-0.43,1.28,-0.3,1.0
43,25777,0.05,0.08,-0.99,0.61,-0.85,-0.43,1.0
44,25857,0.05,0.09,-0.98,-0.73,1.52,-0.3,1.0
45,25963,0.04,0.07,-1.01,0.12,0.06,-0.3,1.0
46,26043,0.05,0.08,-0.99,-0.12,0.73,-0.3,1.0
47,26163,0.05,0.08,-0.99,-0.55,1.04,-0.24,1.0
48,26268,0.05,0.08,-0.98,-0.3,0.61,-0.24,1.0
49,26349,0.05,0.09,-0.99,0.37,-0.18,-0.3,1.0
50,26446,0.06,0.08,-1.0,-0.61,1.4,-0.24,1.0
51,26526,0.05,0.08,-0.99,-0.67,1.95,-0.18,1.0
52,26635,-0.36,-0.16,-1.49,50.98,251.89,-210.61,1.0
53,26744,0.38,-0.21,-0.27,81.71,130.85,-120.24,1.0
54,26827,0.53,0.01,-1.31,99.21,-25.24,-104.02,1.0
