,Time,Ax,Ay,Az,Gx,Gy,Gz,Label
0,56730,-0.22,-0.15,-0.94,2.74,0.0,-1.28,1.0
1,56834,-0.22,-0.15,-0.94,2.62,-1.16,-1.1,1.0
2,56938,-0.22,-0.16,-0.95,2.62,-1.1,-1.28,1.0
3,57016,-0.23,-0.16,-0.94,2.74,-0.18,-1.4,1.0
4,57120,-0.23,-0.15,-0.95,2.74,0.0,-1.22,1.0
5,57224,-0.22,-0.16,-0.94,2.93,0.37,-1.34,1.0
6,57302,-0.22,-0.15,-0.95,2.74,0.43,-1.34,1.0
7,57405,-0.22,-0.14,-0.95,2.2,0.67,-1.46,1.0
8,57484,-0.21,-0.14,-0.94,2.8,0.12,-1.28,1.0
9,57588,-0.21,-0.16,-0.95,2.68,0.0,-1.22,1.0
10,57691,-0.22,-0.15,-0.94,2.62,-0.37,-1.34,1.0
11,57769,-0.22,-0.16,-0.94,2.74,-0.24,-1.4,1.0
12,57870,-0.22,-0.16,-0.95,2.62,-0.18,-1.22,1.0
13,57973,-0.22,-0.16,-0.96,2.68,-0.12,-1.28,1.0
14,58051,-0.22,-0.15,-0.95,2.68,0.0,-1.34,1.0
15,58154,-0.21,-0.15,-0.95,2.87,0.18,-1.28,1.0
16,58268,-0.22,-0.16,-0.95,2.74,0.0,-1.34,1.0
17,58349,-0.22,-0.15,-0.94,2.74,0.06,-1.34,1.0
18,58456,-0.23,-0.16,-0.94,2.74,0.3,-1.28,1.0
19,58563,-0.22,-0.16,-0.95,2.74,0.0,-1.28,1.0
20,58645,-0.22,-0.15,-0.95,2.74,0.0,-1.34,1.0
21,58752,-0.22,-0.15,-0.95,2.87,0.06,-1.4,1.0
22,58834,-0.23,-0.16,-0.94,2.68,0.06,-1.34,1.0
23,58941,-0.22,-0.15,-0.95,2.8,0.06,-1.34,1.0
24,59049,-0.21,-0.16,-0.94,2.74,0.06,-1.34,1.0
25,59130,-0.22,-0.15,-0.95,2.74,0.0,-1.34,1.0
26,59237,-0.22,-0.15,-0.95,2.8,0.0,-1.34,1.0
27,59353,-0.22,-0.15,-0.95,2.68,-0.12,-1.34,1.0
