,Time,Ax,Ay,Az,Gx,Gy,Gz,Label
0,36649,0.01,0.02,-0.99,3.66,1.34,0.24,1.0
1,36754,-0.01,0.02,-0.98,-2.5,-4.15,0.49,1.0
2,36823,0.01,0.02,-0.97,7.5,4.7,0.55,1.0
3,36927,0.01,0.01,-0.98,0.3,-1.59,0.37,1.0
4,37004,0.01,0.01,-0.99,2.99,0.79,0.49,1.0
5,37109,0.0,-0.0,-0.99,1.77,-0.37,0.37,1.0
6,37213,0.01,0.0,-0.98,3.48,1.22,0.49,1.0
7,37282,0.01,0.01,-0.97,0.73,-1.28,0.55,1.0
8,37387,0.02,0.01,-0.98,-0.18,-2.13,0.43,1.0
9,37464,-0.0,0.02,-0.99,2.74,0.43,0.37,1.0
10,37568,0.01,0.01,-0.98,-0.12,-2.01,0.37,1.0
11,37673,0.01,0.01,-0.99,0.61,-1.46,0.3,1.0
12,37742,0.01,0.01,-0.98,2.68,0.3,0.49,1.0
13,37846,-0.0,0.02,-0.99,2.68,0.49,0.37,1.0
14,37923,0.01,0.02,-0.98,3.48,1.04,0.37,1.0
15,38028,0.01,0.01,-0.99,3.11,0.73,0.43,1.0
16,38132,0.0,0.02,-0.99,3.41,1.1,0.49,1.0
17,38201,-0.0,0.01,-0.98,3.05,0.67,0.43,1.0
18,38306,0.0,0.02,-1.0,2.44,0.06,0.37,1.0
19,38383,0.0,0.02,-0.99,1.52,-0.61,0.37,1.0
20,38518,0.0,0.01,-0.98,2.38,0.06,0.37,1.0
21,38595,0.01,0.01,-0.99,1.1,-0.98,0.49,1.0
22,38691,0.01,0.01,-0.98,1.16,-0.85,0.43,1.0
23,38796,-0.0,0.01,-0.98,1.46,-0.67,0.55,1.0
24,38873,0.01,0.02,-0.98,1.1,-0.79,0.49,1.0
25,38986,0.0,0.02,-0.96,1.83,-0.3,0.43,1.0
26,39064,0.0,0.02,-0.98,1.65,-0.43,0.55,1.0
27,39162,0.02,0.01,-0.98,2.74,0.49,0.43,1.0
