;;Koppeling met bestandsnaam:;;123_1.1, 123_2.1, 123_3.1;;;Proefpersoon;;123
Start Frame (sec.);Einde Frame (sec.);;Activiteit;Label;Extra kolom;;Filmnummer;;1
0:00:00;0:00:05;0;;1;;;Naam onderzoeker;;LE
0:00:05;0:00:10;5;;1;;;Naam tweede onderzoeker;;JS
0:00:10;0:00:15;10;;1;;;;;
0:00:15;0:00:20;15;;1;;;;Label;
0:00:20;0:00:25;20;;1;;;Flippen sensor;0;
0:00:25;0:00:30;25;;1;;;X (Niet bruikbare frames (omdoen sensor, te korte opname etc);1;
0:00:30;0:00:35;30;;1;;;Zitten (RS: terwijl de rolstoel stilstaat);2;
0:00:35;0:00:40;35;;1;;;Activiteit aan tafel;3;
0:00:40;0:00:45;40;;1;;;Stilstaan;4;
0:00:45;0:00:50;45;;1;;;Lopen;5;
0:00:50;0:00:55;50;;1;;;Lopen met bochten;6;
0:00:55;0:01:00;55;;1;;;Rennen;7;
0:01:00;0:01:05;60;;0;62;;Rennen met bochten;8;
0:01:05;0:01:10;65;;1;;;Liggen;9;
0:01:10;0:01:15;70;;1;;;Kruipen;10;
0:01:15;0:01:20;75;;0;75;;Tijgeren;12;
0:01:20;0:01:25;80;;1;;;Billenschuiven;13;
0:01:25;0:01:30;85;;1;;;Geduwd worden in een rolstoel/buggy (incl. alle snelheden, binnenshuis, buitenshuis, met bochten, rechtdoor);14;
0:01:30;0:01:35;90;;1;;;Gedragen worden;15;
0:01:35;0:01:40;95;;1;;;In een rijdende auto zitten;16;
0:01:40;0:01:45;100;;1;;;Achterop de fiets zitten;17;
0:01:45;0:01:50;105;;1;;;Springen op de plek;18;
0:01:50;0:01:55;110;;1;;;Voorwaarts springen;19;
0:01:55;0:02:00;115;;1;;;Trap op/af lopen;22;
0:02:00;0:02:05;120;;1;;;Fietsen;23;
0:02:05;0:02:10;125;;1;;;Geduwd worden met grote armbewegingen;24;
0:02:10;0:02:15;130;;1;;;Handbiken;25;
0:02:15;0:02:20;135;;1;;;Racerunnen;26;
0:02:20;0:02:25;140;;1;;;Manoeuvreren;27;
0:02:25;0:02:30;145;;1;;;Sport en spel;28;
0:02:30;0:02:35;150;;1;;;Zelf rijden langzaam (binnenshuis, buitenshuis, rechtdoor, met bochten);29;
0:02:35;0:02:40;155;;1;;;Zelf rijden normaal (binnenshuis, buitenshuis, rechtdoor, met bochten);30;
0:02:40;0:02:45;160;;1;;;Zelf rijden snel (binnenshuis, buitenshuis, rechtdoor, met bochten);31;
0:02:45;0:02:50;165;;1;;;Op knieën lopen;33;
0:02:50;0:02:55;170;;1;;;;;
0:02:55;0:03:00;175;;1;;;;;
0:03:00;0:03:05;180;;1;;;;;
0:03:05;0:03:10;185;;1;;;;;
0:03:10;0:03:15;190;;1;;;;;
0:03:15;0:03:20;195;;1;;;;;
0:03:20;0:03:25;200;;2;;;;;
0:03:25;0:03:30;205;;3;;;;;
0:03:30;0:03:35;210;;2;;;;;
0:03:35;0:03:40;215;;2;;;;;
0:03:40;0:03:45;220;;2;;;;;
0:03:45;0:03:50;225;;3;;;;;
0:03:50;0:03:55;230;;2;;;;;
0:03:55;0:04:00;235;;3;;;;;
0:04:00;0:04:05;240;;3;;;;;
0:04:05;0:04:10;245;;3;;;;;
0:04:10;0:04:15;250;;3;;;;;
0:04:15;0:04:20;255;;3;;;;;
0:04:20;0:04:25;260;;3;;;;;
0:04:25;0:04:30;265;;3;;;;;
0:04:30;0:04:35;270;;3;;;;;
0:04:35;0:04:40;275;;2;;;;;
0:04:40;0:04:45;280;;2;;;;;
0:04:45;0:04:50;285;;2;;;;;
0:04:50;0:04:55;290;;3;;;;;
0:04:55;0:05:00;295;;3;;;;;
0:05:00;0:05:05;300;;2;;;;;
0:05:05;0:05:10;305;;2;;;;;
